kcet	puc	college	area
5494	75	dayananda sagar college	
144	85	RV College of engineering	
477	85	BMS college of engineering	
402	85	Ramaiah Institute of technology	
1799	75	Bangalore Institute of Technology	
16560	75	Reva University Bangalore	
10097	75	Acharya Institute of Technology	
9564	75	Dr Ambedkar Institute of Technology	
53037	75	Presidency University 	
1577	75	university Visvesvaraya college of engineering	
1458	75	JSS Science and Technology University	
6150	75	Nitte Meenakshi Institute of Technology	
12392	75	New Horizon College of engineering	
5000	75	MS Ramaiah University of Applied Sciences	
405	85	PES University	
9005	75	K.L.S Gogte Institute of Technology	
13307	75	dayananda sagar academy of technology	
24058	75	The Oxford College of Engineering	
2389	75	The National Institute of Engineering	
9656	75	S K S J T Institute of Engineering	
20998	75	Islamia Institute of Technology	
16223	75	M V J College of Engineering	
3438	80	Sir M.Visveswaraya Institute of Technology	
59060	75	Ghousia Engineering College	
23703	75	S J C Institute of Technology	
41305	75	Dr.T.Thimmaiah Institute of Technology	
3618	75	Siddaganga Institute of Technology	
26600	75	Sri Siddartha Institute of Technology	
42212	75	Kalpatharu Institute of Technology	
39990	75	Tontadarya College of Engineering	
38730	75	Maratha Mandal Engineering College	
17756	75	Basaveshwara Engineering College	
58032	75	R.T.E Socity`s Rural Engineering College	
53748	75	Sri Taralabalu Jagadguru Institute of Technology.	
9617	75	Sri Dharmasthala Manjunatheswara College of Engineering	
100656	75	Anjuman Engineering College Bhatkala	
15600	75	K L E Dr. M S Sheshagiri College of Engineering and Technology	
26442	75	B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech	
41385	75	Hira Sugar Institute of Technology	
32587	75	Khaja Banda Nawaz University	
29196	75	Gurunanak Dev Engineering College	
35458	75	Bheemanna Khandre Institute of Technology	
51841	75	Rao Bahadur Y.Mahabaleswarappa Engineering College	
69493	75	H K Es S L N College of Engineering	
12103	75	Malnad College of Engineering	
59622	75	K V G College of Engineering	
66835	75	P A College of Engineering	
15687	75	Bapuji Institute of Engineering and Technology	
52324	75	S J M Institute of Technology	
25758	75	Adhichunchanagiri Institute of Technology	
14159	75	Jawaharlal Nehru National College of Engineering	
65973	75	Bahubali College of Engineering	
11279	75	Vidya Vardhaka College of Engineering	
30669	75	Ballari Institute of Technology and Management	
75639	75	Proudadevaraya Institute of Technology	
23975	75	Vidya Vikas Institute of Engineering and Technology	
40358	75	H.K.B.K.College of Engineering	
